b_region,s_region,date_a,value1,date_b,value2
경기,과천,2013-02-25,77.2,2013-02-25,-0.01
경기,구리,2013-02-04,82.0,2013-02-04,0.0
경기,구리,2013-02-11,81.9,2013-02-11,0.0
경기,구리,2013-02-18,81.9,2013-02-18,-0.08
경기,구리,2013-02-25,81.9,2013-02-25,-0.01
경기,남양주,2013-02-04,92.2,2013-02-04,-0.08
경기,남양주,2013-02-11,92.1,2013-02-11,-0.05
경기,남양주,2013-02-18,92.0,2013-02-18,-0.06
경기,남양주,2013-02-25,91.9,2013-02-25,-0.14
경기,용인,2013-02-04,86.1,2013-02-04,-0.15
경기,용인,2013-02-11,86.1,2013-02-11,-0.17
경기,용인,2013-02-18,86.0,2013-02-18,-0.06
경기,용인,2013-02-25,86.0,2013-02-25,-0.1
경기,용인처인구,2013-02-04,101.5,2013-02-04,0.0
경기,용인처인구,2013-02-11,101.5,2013-02-11,0.0
경기,용인처인구,2013-02-18,101.5,2013-02-18,0.0
경기,용인처인구,2013-02-25,101.5,2013-02-25,0.0
경기,용인기흥구,2013-02-04,89.5,2013-02-04,-0.2
경기,용인기흥구,2013-02-11,89.4,2013-02-11,-0.19
경기,용인기흥구,2013-02-18,89.3,2013-02-18,-0.04
경기,용인기흥구,2013-02-25,89.3,2013-02-25,-0.12
경기,용인수지구,2013-02-04,80.3,2013-02-04,-0.15
경기,용인수지구,2013-02-11,80.2,2013-02-11,-0.21
경기,용인수지구,2013-02-18,80.1,2013-02-18,-0.09
경기,용인수지구,2013-02-25,80.0,2013-02-25,-0.12
경기,시흥,2013-02-04,92.7,2013-02-04,-0.03
경기,시흥,2013-02-11,92.7,2013-02-11,-0.03
경기,시흥,2013-02-18,92.7,2013-02-18,0.0
경기,시흥,2013-02-25,92.6,2013-02-25,-0.01
경기,군포,2013-02-04,84.3,2013-02-04,0.0
경기,군포,2013-02-11,84.2,2013-02-11,-0.01
경기,군포,2013-02-18,84.1,2013-02-18,-0.05
경기,군포,2013-02-25,83.8,2013-02-25,-0.09
경기,의왕,2013-02-04,82.0,2013-02-04,-0.03
경기,의왕,2013-02-11,82.0,2013-02-11,0.01
경기,의왕,2013-02-18,82.0,2013-02-18,0.0
경기,의왕,2013-02-25,82.0,2013-02-25,-0.04
경기,하남,2013-02-04,84.9,2013-02-04,-0.23
경기,하남,2013-02-11,84.8,2013-02-11,-0.02
경기,하남,2013-02-18,84.8,2013-02-18,-0.06
경기,하남,2013-02-25,84.8,2013-02-25,-0.04
경기,오산,2013-02-04,101.7,2013-02-04,-0.02
경기,오산,2013-02-11,101.6,2013-02-11,0.0
경기,오산,2013-02-18,101.6,2013-02-18,-0.08
경기,오산,2013-02-25,101.6,2013-02-25,0.0
경기,파주,2013-02-04,96.0,2013-02-04,0.0
경기,파주,2013-02-11,96.0,2013-02-11,-0.1
경기,파주,2013-02-18,95.9,2013-02-18,-0.04
경기,파주,2013-02-25,95.9,2013-02-25,-0.04
경기,이천,2013-02-04,92.9,2013-02-04,0.03
경기,이천,2013-02-11,92.9,2013-02-11,0.01
경기,이천,2013-02-18,92.9,2013-02-18,0.0
경기,이천,2013-02-25,92.9,2013-02-25,-0.02
경기,안성,2013-02-04,98.9,2013-02-04,0.14
경기,안성,2013-02-11,99.0,2013-02-11,0.08
경기,안성,2013-02-18,99.2,2013-02-18,0.09
경기,안성,2013-02-25,99.5,2013-02-25,0.23
경기,김포,2013-02-04,87.5,2013-02-04,-0.02
경기,김포,2013-02-11,87.5,2013-02-11,0.0
경기,김포,2013-02-18,87.5,2013-02-18,0.0
경기,김포,2013-02-25,87.3,2013-02-25,-0.03
경기,양주,2013-02-04,98.9,2013-02-04,0.0
경기,양주,2013-02-11,98.8,2013-02-11,0.0
경기,양주,2013-02-18,98.8,2013-02-18,-0.05
경기,양주,2013-02-25,98.8,2013-02-25,0.0
경기,동두천,2013-02-04,100.1,2013-02-04,-0.16
경기,동두천,2013-02-11,100.1,2013-02-11,0.0
경기,동두천,2013-02-18,100.1,2013-02-18,0.0
경기,동두천,2013-02-25,100.1,2013-02-25,0.0
경기,광주,2013-02-04,95.7,2013-02-04,-0.01
경기,광주,2013-02-11,95.6,2013-02-11,-0.01
경기,광주,2013-02-18,95.6,2013-02-18,-0.01
경기,광주,2013-02-25,95.6,2013-02-25,-0.01
경기,화성,2013-02-04,94.3,2013-02-04,0.0
경기,화성,2013-02-11,94.3,2013-02-11,0.0
경기,화성,2013-02-18,94.3,2013-02-18,0.0
경기,화성,2013-02-25,94.3,2013-02-25,0.0
인천,인천중구,2013-02-04,98.2,2013-02-04,-0.12
인천,인천중구,2013-02-11,98.2,2013-02-11,0.0
인천,인천중구,2013-02-18,98.2,2013-02-18,0.0
인천,인천중구,2013-02-25,98.1,2013-02-25,0.0
인천,인천동구,2013-02-04,94.0,2013-02-04,-0.13
인천,인천동구,2013-02-11,93.8,2013-02-11,-0.02
인천,인천동구,2013-02-18,93.8,2013-02-18,-0.13
인천,인천동구,2013-02-25,93.8,2013-02-25,0.0
인천,인천미추홀구,2013-02-04,92.2,2013-02-04,-0.01
인천,인천미추홀구,2013-02-11,92.2,2013-02-11,0.0
인천,인천미추홀구,2013-02-18,92.2,2013-02-18,-0.01
인천,인천미추홀구,2013-02-25,92.2,2013-02-25,0.0
인천,인천연수구,2013-02-04,87.0,2013-02-04,-0.03
인천,인천연수구,2013-02-11,87.0,2013-02-11,-0.04
인천,인천연수구,2013-02-18,87.0,2013-02-18,-0.03
인천,인천연수구,2013-02-25,87.0,2013-02-25,0.0
인천,인천남동구,2013-02-04,90.0,2013-02-04,-0.03
인천,인천남동구,2013-02-11,89.9,2013-02-11,0.0
인천,인천남동구,2013-02-18,89.8,2013-02-18,-0.06
인천,인천남동구,2013-02-25,89.6,2013-02-25,-0.1
인천,인천부평구,2013-02-04,86.4,2013-02-04,-0.11
인천,인천부평구,2013-02-11,86.4,2013-02-11,-0.02
인천,인천부평구,2013-02-18,86.4,2013-02-18,0.0
인천,인천부평구,2013-02-25,86.4,2013-02-25,-0.01
인천,인천계양구,2013-02-04,86.1,2013-02-04,-0.04
인천,인천계양구,2013-02-11,86.0,2013-02-11,-0.04
인천,인천계양구,2013-02-18,85.8,2013-02-18,-0.16
인천,인천계양구,2013-02-25,85.8,2013-02-25,-0.17
인천,인천서구,2013-02-04,88.6,2013-02-04,-0.02
인천,인천서구,2013-02-11,88.4,2013-02-11,-0.13
인천,인천서구,2013-02-18,88.3,2013-02-18,-0.15
인천,인천서구,2013-02-25,88.2,2013-02-25,-0.13
서울,서울강북,2013-03-04,78.0,2013-03-04,-0.11
서울,서울강북,2013-03-11,78.0,2013-03-11,-0.1
서울,서울강북,2013-03-18,78.0,2013-03-18,-0.04
서울,서울강북,2013-03-25,77.9,2013-03-25,-0.03
서울,서울강북구,2013-03-04,80.1,2013-03-04,0.0
서울,서울강북구,2013-03-11,80.0,2013-03-11,-0.14
서울,서울강북구,2013-03-18,79.9,2013-03-18,-0.12
서울,서울강북구,2013-03-25,79.9,2013-03-25,-0.07
서울,서울광진구,2013-03-04,77.6,2013-03-04,0.0
서울,서울광진구,2013-03-11,77.6,2013-03-11,-0.01
서울,서울광진구,2013-03-18,77.6,2013-03-18,-0.06
서울,서울광진구,2013-03-25,77.6,2013-03-25,0.0
서울,서울노원구,2013-03-04,77.7,2013-03-04,-0.17
서울,서울노원구,2013-03-11,77.7,2013-03-11,-0.05
서울,서울노원구,2013-03-18,77.7,2013-03-18,0.0
서울,서울노원구,2013-03-25,77.7,2013-03-25,0.0
서울,서울도봉구,2013-03-04,78.1,2013-03-04,-0.23
서울,서울도봉구,2013-03-11,78.1,2013-03-11,-0.11
서울,서울도봉구,2013-03-18,78.0,2013-03-18,-0.05
서울,서울도봉구,2013-03-25,77.9,2013-03-25,-0.07
서울,서울동대문구,2013-03-04,78.7,2013-03-04,0.0
서울,서울동대문구,2013-03-11,78.6,2013-03-11,-0.23
서울,서울동대문구,2013-03-18,78.6,2013-03-18,-0.08
서울,서울동대문구,2013-03-25,78.6,2013-03-25,0.0
서울,서울마포구,2013-03-04,73.1,2013-03-04,-0.01
서울,서울마포구,2013-03-11,73.1,2013-03-11,-0.03
서울,서울마포구,2013-03-18,73.0,2013-03-18,-0.02
서울,서울마포구,2013-03-25,73.0,2013-03-25,-0.14
서울,서울서대문구,2013-03-04,77.6,2013-03-04,-0.09
서울,서울서대문구,2013-03-11,77.6,2013-03-11,-0.03
서울,서울서대문구,2013-03-18,77.6,2013-03-18,0.0
서울,서울서대문구,2013-03-25,77.6,2013-03-25,0.0
서울,서울성동구,2013-03-04,75.1,2013-03-04,-0.01
서울,서울성동구,2013-03-11,75.0,2013-03-11,-0.27
서울,서울성동구,2013-03-18,75.0,2013-03-18,-0.15
서울,서울성동구,2013-03-25,74.9,2013-03-25,-0.04
서울,서울성북구,2013-03-04,75.9,2013-03-04,-0.19
서울,서울성북구,2013-03-11,75.9,2013-03-11,-0.16
서울,서울성북구,2013-03-18,75.8,2013-03-18,0.0
서울,서울성북구,2013-03-25,75.8,2013-03-25,-0.01
서울,서울용산구,2013-03-04,79.4,2013-03-04,-0.36
서울,서울용산구,2013-03-11,79.3,2013-03-11,-0.18
서울,서울용산구,2013-03-18,79.3,2013-03-18,-0.11
서울,서울용산구,2013-03-25,79.2,2013-03-25,-0.02
서울,서울은평구,2013-03-04,81.7,2013-03-04,-0.03
서울,서울은평구,2013-03-11,81.7,2013-03-11,-0.01
서울,서울은평구,2013-03-18,81.7,2013-03-18,-0.01
서울,서울은평구,2013-03-25,81.7,2013-03-25,0.01
서울,서울종로구,2013-03-04,85.5,2013-03-04,-0.12
서울,서울종로구,2013-03-11,85.5,2013-03-11,-0.2
서울,서울종로구,2013-03-18,85.5,2013-03-18,-0.02
서울,서울종로구,2013-03-25,85.5,2013-03-25,0.0
서울,서울중구,2013-03-04,83.0,2013-03-04,0.01
서울,서울중구,2013-03-11,83.0,2013-03-11,-0.01
서울,서울중구,2013-03-18,83.0,2013-03-18,0.0
서울,서울중구,2013-03-25,83.0,2013-03-25,-0.05
서울,서울중랑구,2013-03-04,84.7,2013-03-04,0.0
서울,서울중랑구,2013-03-11,84.7,2013-03-11,-0.04
서울,서울중랑구,2013-03-18,84.7,2013-03-18,0.0
서울,서울중랑구,2013-03-25,84.7,2013-03-25,0.0
서울,서울강남,2013-03-04,74.3,2013-03-04,-0.04
서울,서울강남,2013-03-11,74.2,2013-03-11,-0.05
서울,서울강남,2013-03-18,74.2,2013-03-18,-0.05
서울,서울강남,2013-03-25,74.2,2013-03-25,-0.02
