종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"009190","대양금속","KOSPI","철강금속","5650","20","0.36","171773379200"
"014160","대영포장","KOSPI","종이목재","3345","160","5.02","362579766405"
"047040","대우건설","KOSPI","건설업","7420","120","1.64","3083919973960"
"009320","대우부품","KOSPI","운수장비","2540","-35","-1.36","121021792500"
"042660","대우조선해양","KOSPI","운수장비","32750","-50","-0.15","3513769409750"
"003090","대웅","KOSPI","기타금융","36600","600","1.67","2127996468000"
"069620","대웅제약","KOSPI","의약품","164000","8000","5.13","1900198300000"
"000430","대원강업","KOSPI","운수장비","4070","40","0.99","252340000000"
"006340","대원전선","KOSPI","전기전자","2565","-95","-3.57","182158520355"
"006345","대원전선우","KOSPI","전기전자","4775","-325","-6.37","12516230000"
"003220","대원제약","KOSPI","의약품","15900","-150","-0.93","337474685700"
"024890","대원화성","KOSPI","화학","2960","-70","-2.31","122097489920"
"002880","대유에이텍","KOSPI","운수장비","1420","-5","-0.35","158281622020"
"000300","대유플러스","KOSPI","전기전자","1465","15","1.03","177263203910"
"012800","대창","KOSPI","철강금속","2575","-70","-2.65","234686784925"
"015230","대창단조","KOSPI","운수장비","8670","0","0.00","123860617050"
"001070","대한방직","KOSPI","섬유의복","43950","-50","-0.11","232935000000"
"006650","대한유화","KOSPI","화학","267000","-7500","-2.73","1735500000000"
"001440","대한전선","KOSPI","전기전자","2610","-50","-1.88","2235394553490"
"084010","대한제강","KOSPI","철강금속","21850","-250","-1.13","538531137900"
"001790","대한제당","KOSPI","음식료품","3200","-25","-0.78","287029056000"
"001795","대한제당우","KOSPI","음식료품","3870","-110","-2.76","25088281200"
"001130","대한제분","KOSPI","음식료품","173500","-500","-0.29","293215000000"
"003490","대한항공","KOSPI","운수창고업","30150","-250","-0.82","10486797873750"
"003495","대한항공우","KOSPI","운수창고업","39900","-300","-0.75","44320680600"
"005880","대한해운","KOSPI","운수창고업","3235","-55","-1.67","1032539083100"
"003830","대한화섬","KOSPI","화학","146500","0","0.00","194552000000"
"016090","대현","KOSPI","섬유의복","2855","-15","-0.52","126425995050"
"069460","대호에이엘","KOSPI","철강금속","4335","-160","-3.56","205946889555"
"192080","더블유게임즈","KOSPI","서비스업","61400","-900","-1.44","1128194422800"
"012510","더존비즈온","KOSPI","서비스업","84900","100","0.12","2575922118900"
"004830","덕성","KOSPI","화학","21000","-100","-0.47","329280000000"
"004835","덕성우","KOSPI","화학","30700","-1100","-3.46","42734400000"
"024900","덕양산업","KOSPI","운수장비","3545","-90","-2.48","115442854100"
"145720","덴티움","KOSPI","의료정밀","72600","100","0.14","803597058000"
"002150","도화엔지니어링","KOSPI","서비스업","8910","80","0.91","300445200000"
"001230","동국제강","KOSPI","철강금속","21250","0","0.00","2027945661250"
"023450","동남합성","KOSPI","화학","65100","-700","-1.06","235011000000"
"004140","동방","KOSPI","운수창고업","6400","-70","-1.08","255819302400"
"007590","동방아그로","KOSPI","화학","8500","10","0.12","115749404500"
"005960","동부건설","KOSPI","건설업","14300","150","1.06","324986061400"
"005965","동부건설우","KOSPI","건설업","46700","-300","-0.64","10541684400"
"026960","동서","KOSPI","유통업","30450","150","0.50","3035865000000"
"002210","동성제약","KOSPI","의약품","9500","-240","-2.46","247959215000"
"102260","동성케미컬","KOSPI","서비스업","6080","-60","-0.98","302113546240"
"000640","동아쏘시오홀딩스","KOSPI","기타금융","124500","1500","1.22","787857538500"
"170900","동아에스티","KOSPI","의약품","81400","-1100","-1.33","687330855200"
"028100","동아지질","KOSPI","건설업","20400","-100","-0.49","234600000000"
"282690","동아타이어","KOSPI","화학","12300","0","0.00","168916084500"
"001520","동양","KOSPI","비금속광물","2060","55","2.74","491689169780"
"001527","동양2우B","KOSPI","비금속광물","20500","-350","-1.68","6325664500"
"001529","동양3우B","KOSPI","비금속광물","56500","-1800","-3.09","5069293000"
"084670","동양고속","KOSPI","운수창고업","23700","-50","-0.21","68624985300"
"082640","동양생명","KOSPI","보험","5420","-120","-2.17","874563530700"
"001525","동양우","KOSPI","비금속광물","10400","100","0.97","6424402400"
"008970","동양철관","KOSPI","철강금속","1755","85","5.09","208643683950"
"092780","동양피스톤","KOSPI","운수장비","6600","-170","-2.51","86911836000"
"049770","동원F&B","KOSPI","음식료품","217500","5000","2.35","839359470000"
"018500","동원금속","KOSPI","운수장비","1010","-20","-1.94","47222482330"
"006040","동원산업","KOSPI","농업, 임업 및 어업","248000","-1500","-0.60","912054968000"
"030720","동원수산","KOSPI","농업, 임업 및 어업","9490","-200","-2.06","44164609450"
"014820","동원시스템즈","KOSPI","화학","43900","-350","-0.79","1124652632900"
"014825","동원시스템즈우","KOSPI","화학","37350","-100","-0.27","9911121300"
"163560","동일고무벨트","KOSPI","화학","9390","-60","-0.63","130521000000"
"004890","동일산업","KOSPI","철강금속","104500","-1000","-0.95","253434967500"
"002690","동일제강","KOSPI","철강금속","4545","-65","-1.41","68175000000"
"000020","동화약품","KOSPI","의약품","14450","50","0.35","403609741500"
"000150","두산","KOSPI","서비스업","99300","-500","-0.50","1640816815500"
"000157","두산2우B","KOSPI","서비스업","142000","-5000","-3.40","126811396000"
"241560","두산밥캣","KOSPI","기계","45050","-1850","-3.94","4516224928300"
"000155","두산우","KOSPI","서비스업","68900","-1000","-1.43","275356231800"
"042670","두산인프라코어","KOSPI","기계","16350","0","0.00","1280355877800"
"034020","두산중공업","KOSPI","기계","22550","-400","-1.74","11534090908450"
"336260","두산퓨얼셀","KOSPI","전기전자","48900","-50","-0.10","3202643201400"
"33626K","두산퓨얼셀1우","KOSPI","전기전자","16200","-50","-0.31","216500040000"
"33626L","두산퓨얼셀2우B","KOSPI","전기전자","21600","0","0.00","64504080000"
"016740","두올","KOSPI","운수장비","4610","-60","-1.28","133075394800"
"192650","드림텍","KOSPI","전기전자","12350","-50","-0.40","806371896850"
"024090","디씨엠","KOSPI","철강금속","19450","-50","-0.26","227565000000"
"003160","디아이","KOSPI","의료정밀","9240","-210","-2.22","291030293400"
"092200","디아이씨","KOSPI","운수장비","6470","-170","-2.56","251609041430"
"013570","디와이","KOSPI","기타금융","5840","-40","-0.68","153706656720"
"210540","디와이파워","KOSPI","기계","16800","150","0.90","185500694400"
"007340","디티알오토모티브","KOSPI","전기전자","39000","-600","-1.52","389766195000"
"026890","디피씨","KOSPI","전기전자","13500","-350","-2.53","562655362500"
"115390","락앤락","KOSPI","화학","13550","-100","-0.73","718253494900"
"032350","롯데관광개발","KOSPI","서비스업","19650","-50","-0.25","1361266758300"
"330590","롯데리츠","KOSPI","서비스업","5920","0","0.00","1438375793280"
"000400","롯데손해보험","KOSPI","보험","1855","-20","-1.07","575673873600"
"023530","롯데쇼핑","KOSPI","유통업","110000","1000","0.92","3111763050000"
"004000","롯데정밀화학","KOSPI","화학","72600","-1300","-1.76","1873080000000"
"286940","롯데정보통신","KOSPI","서비스업","41050","0","0.00","632019387550"
"280360","롯데제과","KOSPI","음식료품","142500","-2000","-1.38","914382172500"
"004990","롯데지주","KOSPI","기타금융","37900","50","0.13","3976060082300"
"00499K","롯데지주우","KOSPI","기타금융","58600","0","0.00","57874707800"
"005300","롯데칠성","KOSPI","음식료품","136000","1000","0.74","1261928224000"
"005305","롯데칠성우","KOSPI","음식료품","78400","0","0.00","60784304000"
"011170","롯데케미칼","KOSPI","화학","270000","1500","0.56","9254363130000"
"002270","롯데푸드","KOSPI","음식료품","436500","-4000","-0.91","527752507500"
"071840","롯데하이마트","KOSPI","유통업","35650","450","1.28","841614932800"
"027740","마니커","KOSPI","음식료품","683","-5","-0.73","135556781702"
"204320","만도","KOSPI","운수장비","61000","-500","-0.81","2864384320000"
"001080","만호제강","KOSPI","철강금속","22850","-200","-0.87","94827500000"
"088980","맥쿼리인프라","KOSPI","기타금융","12300","-50","-0.40","4577967565500"
"094800","맵스리얼티1","KOSPI","기타금융","4630","0","0.00","429822952530"
"138040","메리츠금융지주","KOSPI","기타금융","24000","950","4.12","3216271056000"
"008560","메리츠증권","KOSPI","증권","4950","50","1.02","3374566366050"
"000060","메리츠화재","KOSPI","보험","23850","500","2.14","2876906250000"
"090370","메타랩스","KOSPI","섬유의복","1175","-35","-2.89","76826567775"
"017180","명문제약","KOSPI","의약품","5660","190","3.47","192176549640"
"009900","명신산업","KOSPI","운수장비","30700","450","1.49","1610833083100"
"012690","모나리자","KOSPI","종이목재","5010","-110","-2.15","183221987550"
"005360","모나미","KOSPI","유통업","5750","-110","-1.88","108659515250"
"204210","모두투어리츠","KOSPI","서비스업","4205","-25","-0.59","32911757075"
"009680","모토닉","KOSPI","운수장비","11250","-150","-1.32","371250000000"
"009580","무림P&P","KOSPI","종이목재","5180","-70","-1.33","323067918320"
"009200","무림페이퍼","KOSPI","종이목재","3185","-50","-1.55","132525652350"
"033920","무학","KOSPI","음식료품","8150","-10","-0.12","232275000000"
"008420","문배철강","KOSPI","철강금속","5200","-60","-1.14","106618226000"
