종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"031390","녹십자셀","KOSDAQ","제약","39800","-500","-1.24","504712396800"
"142280","녹십자엠에스","KOSDAQ","제약","10650","-250","-2.29","224899063950"
"234690","녹십자웰빙","KOSDAQ","제약","10850","-400","-3.56","192612194600"
"065560","녹원씨엔아이","KOSDAQ","출판·매체복제","5770","0","0.00","99593806250"
"054050","농우바이오","KOSDAQ","농업, 임업 및 어업","13500","200","1.50","216412573500"
"069140","누리플랜","KOSDAQ","금속","8710","-250","-2.79","61864891530"
"040160","누리플렉스","KOSDAQ","소프트웨어","8830","-230","-2.54","106450374050"
"126870","뉴로스","KOSDAQ","기계·장비","2230","0","0.00","79475828550"
"060260","뉴보텍","KOSDAQ","화학","1615","-75","-4.44","53995506250"
"012340","뉴인텍","KOSDAQ","IT부품","4095","-85","-2.03","123032235690"
"214870","뉴지랩파마","KOSDAQ","유통","10350","-200","-1.90","314976136950"
"270870","뉴트리","KOSDAQ","음식료·담배","34000","0","0.00","309849616000"
"144960","뉴파워프라즈마","KOSDAQ","기계·장비","6450","50","0.78","281817424800"
"085670","뉴프렉스","KOSDAQ","IT부품","3090","-90","-2.83","68116933350"
"119860","다나와","KOSDAQ","인터넷","29650","-350","-1.17","387668472300"
"064260","다날","KOSDAQ","디지털컨텐츠","7070","-390","-5.23","487469712800"
"093640","다믈멀티미디어","KOSDAQ","반도체","3385","-35","-1.02","44481865260"
"039560","다산네트웍스","KOSDAQ","통신장비","9960","-90","-0.90","362353146480"
"032190","다우데이타","KOSDAQ","유통","14400","-100","-0.69","551520000000"
"068240","다원시스","KOSDAQ","IT부품","18950","0","0.00","598145512650"
"020400","대동금속","KOSDAQ","금속","13000","-400","-2.99","41459158000"
"008830","대동기어","KOSDAQ","기계·장비","8300","-280","-3.26","74596416000"
"048470","대동스틸","KOSDAQ","금속","7780","50","0.65","77800000000"
"004780","대륙제관","KOSDAQ","금속","6670","20","0.30","106074337330"
"017650","대림제지","KOSDAQ","종이·목재","14100","-50","-0.35","126900000000"
"007720","대명소노시즌","KOSDAQ","유통","1495","15","1.01","150696672750"
"317850","대모","KOSDAQ","기계·장비","6350","110","1.76","52860067000"
"290670","대보마그네틱","KOSDAQ","기계·장비","36200","-600","-1.63","280996092600"
"078140","대봉엘에스","KOSDAQ","제약","10900","-200","-1.80","120843711100"
"036480","대성미생물","KOSDAQ","제약","18750","-200","-1.06","71250000000"
"025440","대성엘텍","KOSDAQ","일반전기전자","1270","-35","-2.68","128233605610"
"027830","대성창투","KOSDAQ","금융","4690","-350","-6.94","187600000000"
"104040","대성파인텍","KOSDAQ","운송장비·부품","2610","-25","-0.95","81696343410"
