MESR_YM,SIDONM,SUM_YN,INDX_VALU
201405,경상남도,N,114.5
201406,전국,Y,111.0
201406,수도권,Y,110.4
201406,서울특별시,N,108.5
201406,인천광역시,N,113.0
201406,경기도,N,110.9
201406,비수도권,Y,112.0
201406,부산광역시,N,112.9
201406,대구광역시,N,120.8
201406,광주광역시,N,112.5
201406,대전광역시,N,105.9
201406,울산광역시,N,117.0
201406,강원도,N,114.6
201406,충청북도,N,112.4
201406,충청남도,N,119.4
201406,전라북도,N,103.3
201406,전라남도,N,104.1
201406,경상북도,N,108.8
201406,경상남도,N,107.6
201407,전국,Y,117.9
201407,수도권,Y,118.5
201407,서울특별시,N,117.0
201407,인천광역시,N,117.7
201407,경기도,N,119.5
201407,비수도권,Y,117.3
201407,부산광역시,N,119.0
201407,대구광역시,N,125.9
201407,광주광역시,N,116.7
201407,대전광역시,N,111.9
201407,울산광역시,N,123.5
201407,강원도,N,119.5
201407,충청북도,N,119.6
201407,충청남도,N,125.1
201407,전라북도,N,104.5
201407,전라남도,N,104.5
201407,경상북도,N,115.6
201407,경상남도,N,113.2
201408,전국,Y,126.1
201408,수도권,Y,128.8
201408,서울특별시,N,128.1
201408,인천광역시,N,127.1
201408,경기도,N,129.5
201408,비수도권,Y,122.8
201408,부산광역시,N,124.1
201408,대구광역시,N,135.1
201408,광주광역시,N,123.0
201408,대전광역시,N,115.4
201408,울산광역시,N,128.6
201408,강원도,N,123.7
201408,충청북도,N,123.5
201408,충청남도,N,131.5
201408,전라북도,N,111.3
201408,전라남도,N,109.9
201408,경상북도,N,118.8
201408,경상남도,N,119.3
201409,전국,Y,129.1
201409,수도권,Y,131.1
201409,서울특별시,N,130.9
201409,인천광역시,N,129.3
201409,경기도,N,131.7
201409,비수도권,Y,126.5
201409,부산광역시,N,129.9
201409,대구광역시,N,139.6
201409,광주광역시,N,130.1
201409,대전광역시,N,119.0
201409,울산광역시,N,131.4
201409,강원도,N,117.9
201409,충청북도,N,125.8
201409,충청남도,N,125.9
201409,전라북도,N,117.7
201409,전라남도,N,113.5
201409,경상북도,N,123.2
201409,경상남도,N,122.7
201410,전국,Y,130.7
201410,수도권,Y,132.2
201410,서울특별시,N,132.3
201410,인천광역시,N,127.4
201410,경기도,N,133.2
201410,비수도권,Y,128.8
201410,부산광역시,N,130.9
201410,대구광역시,N,139.9
201410,광주광역시,N,139.3
201410,대전광역시,N,120.2
201410,울산광역시,N,139.4
201410,강원도,N,126.3
201410,충청북도,N,125.6
201410,충청남도,N,124.2
201410,전라북도,N,118.9
201410,전라남도,N,113.0
201410,경상북도,N,126.5
201410,경상남도,N,125.0
201411,전국,Y,124.5
201411,수도권,Y,125.2
201411,서울특별시,N,125.1
201411,인천광역시,N,123.9
201411,경기도,N,125.6
201411,비수도권,Y,123.6
201411,부산광역시,N,127.0
201411,대구광역시,N,135.5
201411,광주광역시,N,134.7
201411,대전광역시,N,111.5
201411,울산광역시,N,130.0
201411,강원도,N,118.9
201411,충청북도,N,123.2
201411,충청남도,N,118.8
201411,전라북도,N,114.6
201411,전라남도,N,109.7
201411,경상북도,N,121.5
201411,경상남도,N,117.2
201412,전국,Y,114.5
201412,수도권,Y,115.2
201412,서울특별시,N,116.2
201412,인천광역시,N,115.8
201412,경기도,N,114.6
201412,비수도권,Y,113.6
201412,부산광역시,N,116.0
201412,대구광역시,N,119.9
201412,광주광역시,N,122.9
201412,대전광역시,N,105.3
201412,울산광역시,N,119.5
201412,강원도,N,116.5
201412,충청북도,N,108.3
201412,충청남도,N,113.9
201412,전라북도,N,106.4
201412,전라남도,N,105.0
201412,경상북도,N,113.1
201412,경상남도,N,108.1
201501,전국,Y,129.8
201501,수도권,Y,134.0
201501,서울특별시,N,137.3
201501,인천광역시,N,133.0
201501,경기도,N,132.4
201501,비수도권,Y,124.7
201501,부산광역시,N,128.1
201501,대구광역시,N,134.5
201501,광주광역시,N,137.3
201501,대전광역시,N,112.7
201501,울산광역시,N,129.4
